Date,Terrain,Trial,start,finish
5-Aug,flat,2,2500,5500
21-Aug,flat,1,4500,7500
21-Aug,flat,4,4000,10000
21-Aug,terrain,1,2000,6000
21-Aug,terrain,2,1500,3400
21-Aug,terrain,3,2000,4000
21-Aug,terrain,4,2000,5000
21-Aug,terrain,5,2000,5000
23-Aug,flat,2,3500,6000
24-Aug,amputate_R2,3,2000,14000
24-Aug,amputate_R2,5,10000,14000
24-Aug,amputate_R2,6,500,5000
27-Aug,amputate_L3,2,5000,10000
27-Aug,amputate_L3,4,4500,8000
27-Aug,amputate_L3,6,6000,11000
27-Aug,amputate_R2_L2,1,3000,6000
27-Aug,amputate_R2_L2,3,5500,8800
27-Aug,amputate_R2_L2,5,8000,140000
27-Aug,amputate_R3_L3,2,4000,9000
27-Aug,amputate_R3_L3,4,4000,11000
27-Aug,amputate_R3_L3,6,6000,12000
Simulation,terrain,1,0,9999
Simulation,flat,1,0,9999
